Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks
FLYNG,49.84,"2022, 2021, 2007","1, 2, 1",Yes,2022: 15.25% | 2021: 23.80% | 2007: 2.01%,2022: Rs.7.60 | 2021: Rs.11.86 | 2007: Rs.1.00,100.0%,High consistency (100.0%): 3 years with dividends
FML,78.89,"2023, 2022, 2021, 2020, 2019","1, 2, 3, 2, 2",Yes,2023: 11.26% | 2022: 2.60% | 2021: 4.30% | 2020: 3.28% | 2019: 6.46%,2023: Rs.8.88 | 2022: Rs.2.05 | 2021: Rs.3.39 | 2020: Rs.2.59 | 2019: Rs.5.10,100.0%,Perfect consistency: 5 consecutive years
FNEL,3.75,"2016, 2012, 2011, 2007, 2006, 2005","1, 1, 1, 1, 1, 2",Yes,2016: 10.67% | 2012: 645.33% | 2011: 373.33% | 2007: 40.00% | 2006: 0.00% | 2005: 40.00%,2016: Rs.0.40 | 2012: Rs.24.20 | 2011: Rs.14.00 | 2007: Rs.1.50 | 2006: Rs.0.00 | 2005: Rs.1.50,100.0%,High consistency (100.0%): 6 years with dividends
FPJM,4.41,"2018, 2017, 2016, 2015, 2014, 2010, 2008, 2007, 2006, 2005","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2018: 11.34% | 2017: 11.34% | 2016: 11.34% | 2015: 11.34% | 2014: 11.34% | 2010: 2.27% | 2008: 7.26% | 2007: 13.61% | 2006: 34.01% | 2005: 29.48%,2018: Rs.0.50 | 2017: Rs.0.50 | 2016: Rs.0.50 | 2015: Rs.0.50 | 2014: Rs.0.50 | 2010: Rs.0.10 | 2008: Rs.0.32 | 2007: Rs.0.60 | 2006: Rs.1.50 | 2005: Rs.1.30,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
FPRM,9.79,"2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013","1, 1, 1, 1, 1, 1, 2, 1, 1",Yes,2021: 4.60% | 2020: 3.58% | 2019: 10.21% | 2018: 7.15% | 2017: 7.15% | 2016: 7.66% | 2015: 38.82% | 2014: 13.28% | 2013: 11.24%,2021: Rs.0.45 | 2020: Rs.0.35 | 2019: Rs.1.00 | 2018: Rs.0.70 | 2017: Rs.0.70 | 2016: Rs.0.75 | 2015: Rs.3.80 | 2014: Rs.1.30 | 2013: Rs.1.10,100.0%,Perfect consistency: 9 consecutive years
FRCL,41.99,"2012, 2004","1, 1",Yes,2012: 92.70% | 2004: 0.00%,2012: Rs.38.92 | 2004: Rs.0.00,100.0%,"High consistency (100.0%): 2 years with dividends, Pattern: 1 dividends per year"
FRSM,44.26,"2024, 2023, 2019, 2018, 2016, 2015, 2014, 2013","2, 1, 1, 1, 1, 2, 1, 1",Yes,2024: 26.21% | 2023: 5.65% | 2019: 2.26% | 2018: 8.47% | 2016: 11.30% | 2015: 15.25% | 2014: 2.26% | 2013: 1.69%,2024: Rs.11.60 | 2023: Rs.2.50 | 2019: Rs.1.00 | 2018: Rs.3.75 | 2016: Rs.5.00 | 2015: Rs.6.75 | 2014: Rs.1.00 | 2013: Rs.0.75,100.0%,High consistency (100.0%): 8 years with dividends
FTMM,20.0,"2017, 2016","1, 1",Yes,2017: 2.99% | 2016: 3.14%,2017: Rs.0.60 | 2016: Rs.0.63,100.0%,"Perfect consistency: 2 consecutive years, Pattern: 1 dividends per year"
FTSM,13.54,"2024, 2023, 2021, 2020, 2018, 2009, 2005, 2004","2, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 29.54% | 2023: 29.54% | 2021: 4.43% | 2020: 0.74% | 2018: 0.74% | 2009: 3.69% | 2005: 0.00% | 2004: 3.69%,2024: Rs.4.00 | 2023: Rs.4.00 | 2021: Rs.0.60 | 2020: Rs.0.10 | 2018: Rs.0.10 | 2009: Rs.0.50 | 2005: Rs.0.00 | 2004: Rs.0.50,100.0%,High consistency (100.0%): 8 years with dividends
FZCM,287.32,"2022, 2021, 2019, 2018, 2017, 2016, 2015, 2014, 2013","1, 2, 1, 1, 1, 1, 1, 1, 1",Yes,2022: 3.48% | 2021: 10.44% | 2019: 3.65% | 2018: 2.96% | 2017: 1.83% | 2016: 0.87% | 2015: 1.74% | 2014: 0.87% | 2013: 0.87%,2022: Rs.10.00 | 2021: Rs.30.00 | 2019: Rs.10.50 | 2018: Rs.8.50 | 2017: Rs.5.25 | 2016: Rs.2.50 | 2015: Rs.5.00 | 2014: Rs.2.50 | 2013: Rs.2.50,100.0%,Minor gap detected but overall consistent: 9 years with dividends
GADT,478.1,"2022, 2021, 2019, 2018, 2017, 2014, 2013, 2012","1, 1, 1, 1, 2, 1, 1, 2",Yes,2022: 4.18% | 2021: 2.51% | 2019: 1.78% | 2018: 1.83% | 2017: 2.46% | 2014: 1.05% | 2013: 2.61% | 2012: 3.14%,2022: Rs.20.00 | 2021: Rs.12.00 | 2019: Rs.8.50 | 2018: Rs.8.75 | 2017: Rs.11.75 | 2014: Rs.5.00 | 2013: Rs.12.50 | 2012: Rs.15.00,100.0%,High consistency (100.0%): 8 years with dividends
GATI,144.35,"2023, 2019, 2018, 2017, 2015","2, 3, 2, 1, 2",Yes,2023: 2.08% | 2019: 20.44% | 2018: 12.30% | 2017: 1.39% | 2015: 2.42%,2023: Rs.3.00 | 2019: Rs.29.50 | 2018: Rs.17.75 | 2017: Rs.2.00 | 2015: Rs.3.50,100.0%,High consistency (100.0%): 5 years with dividends
GATM,33.4,"2023, 2021, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 3, 2",Yes,2023: 5.99% | 2021: 2.99% | 2019: 7.49% | 2018: 7.49% | 2017: 2.99% | 2016: 11.98% | 2015: 7.49%,2023: Rs.2.00 | 2021: Rs.1.00 | 2019: Rs.2.50 | 2018: Rs.2.50 | 2017: Rs.1.00 | 2016: Rs.4.00 | 2015: Rs.2.50,100.0%,High consistency (100.0%): 7 years with dividends
GCIL,26.1,"2024, 2022","1, 1",Yes,2024: 2.30% | 2022: 3.83%,2024: Rs.0.60 | 2022: Rs.1.00,100.0%,"Minor gap detected but overall consistent: 2 years with dividends, Pattern: 1 dividends per year"
GFIL,12.82,"2021, 2011, 2010, 2005, 2004","1, 1, 1, 2, 1",Yes,2021: 5.85% | 2011: 7.80% | 2010: 7.80% | 2005: 3.90% | 2004: 0.00%,2021: Rs.0.75 | 2011: Rs.1.00 | 2010: Rs.1.00 | 2005: Rs.0.50 | 2004: Rs.0.00,100.0%,High consistency (100.0%): 5 years with dividends
GGGL,9.41,"2020, 2016","1, 1",Yes,2020: 148.78% | 2016: 106.27%,2020: Rs.14.00 | 2016: Rs.10.00,100.0%,"High consistency (100.0%): 2 years with dividends, Pattern: 1 dividends per year"
GGL,19.97,"2022, 2021, 2020, 2018, 2017, 2015, 2014, 2013","1, 1, 2, 1, 1, 2, 1, 1",Yes,2022: 5.01% | 2021: 7.51% | 2020: 38.06% | 2018: 2.50% | 2017: 3.00% | 2015: 39.06% | 2014: 3.00% | 2013: 1.25%,2022: Rs.1.00 | 2021: Rs.1.50 | 2020: Rs.7.60 | 2018: Rs.0.50 | 2017: Rs.0.60 | 2015: Rs.7.80 | 2014: Rs.0.60 | 2013: Rs.0.25,100.0%,High consistency (100.0%): 8 years with dividends
GHGL,42.91,"2024, 2023, 2022, 2021, 2020","1, 2, 1, 5, 1",Yes,2024: 2.33% | 2023: 6.78% | 2022: 2.33% | 2021: 25.64% | 2020: 15.15%,2024: Rs.1.00 | 2023: Rs.2.91 | 2022: Rs.1.00 | 2021: Rs.11.00 | 2020: Rs.6.50,100.0%,Perfect consistency: 5 consecutive years
GHNI,784.66,"2018, 2017, 2016, 2015, 2006, 2005","1, 1, 1, 1, 2, 1",Yes,2018: 1.99% | 2017: 1.91% | 2016: 1.27% | 2015: 0.57% | 2006: 0.45% | 2005: 0.00%,2018: Rs.15.60 | 2017: Rs.15.00 | 2016: Rs.10.00 | 2015: Rs.4.50 | 2006: Rs.3.50 | 2005: Rs.0.00,100.0%,High consistency (100.0%): 6 years with dividends
GIL,1000.0,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 0.30% | 2023: 0.30% | 2022: 0.30% | 2021: 0.30% | 2020: 0.33% | 2019: 0.34% | 2018: 0.34% | 2017: 0.34% | 2016: 0.18% | 2015: 0.50%,2024: Rs.3.00 | 2023: Rs.3.00 | 2022: Rs.3.00 | 2021: Rs.3.00 | 2020: Rs.3.30 | 2019: Rs.3.35 | 2018: Rs.3.40 | 2017: Rs.3.36 | 2016: Rs.1.75 | 2015: Rs.5.00,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year"
GLAXO,418.62,"2024, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014","1, 1, 1, 1, 1, 2, 1, 1, 1",Yes,2024: 2.39% | 2021: 1.67% | 2020: 1.55% | 2019: 1.43% | 2018: 1.67% | 2017: 1.67% | 2016: 1.43% | 2015: 0.96% | 2014: 1.19%,2024: Rs.10.00 | 2021: Rs.7.00 | 2020: Rs.6.50 | 2019: Rs.6.00 | 2018: Rs.7.00 | 2017: Rs.7.00 | 2016: Rs.6.00 | 2015: Rs.4.00 | 2014: Rs.5.00,100.0%,High consistency (100.0%): 9 years with dividends
GLPL,226.01,"2020, 2019, 2018, 2015, 2013, 2008, 2006, 2005","1, 1, 1, 1, 1, 1, 1, 1",Yes,2020: 2.92% | 2019: 1.55% | 2018: 0.55% | 2015: 2.21% | 2013: 0.22% | 2008: 0.22% | 2006: 0.00% | 2005: 0.00%,2020: Rs.6.60 | 2019: Rs.3.50 | 2018: Rs.1.25 | 2015: Rs.5.00 | 2013: Rs.0.50 | 2008: Rs.0.50 | 2006: Rs.0.00 | 2005: Rs.0.00,100.0%,"High consistency (100.0%): 8 years with dividends, Pattern: 1 dividends per year"
GOC,158.76,"2024, 2023, 2022, 2020, 2019, 2018, 2017, 2016, 2015, 2011","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 1.26% | 2023: 1.57% | 2022: 0.63% | 2020: 0.63% | 2019: 1.26% | 2018: 0.63% | 2017: 0.41% | 2016: 1.32% | 2015: 1.26% | 2011: 0.63%,2024: Rs.2.00 | 2023: Rs.2.50 | 2022: Rs.1.00 | 2020: Rs.1.00 | 2019: Rs.2.00 | 2018: Rs.1.00 | 2017: Rs.0.65 | 2016: Rs.2.10 | 2015: Rs.2.00 | 2011: Rs.1.00,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
GRR,23.44,"2025, 2024, 2023","1, 1, 1",Yes,2025: 14.93% | 2024: 7.47% | 2023: 12.80%,2025: Rs.3.50 | 2024: Rs.1.75 | 2023: Rs.3.00,100.0%,"Perfect consistency: 2 consecutive years, Pattern: 1 dividends per year"
GRYL,11.83,"2008, 2005, 2004","2, 1, 1",Yes,2008: 12.68% | 2005: 0.00% | 2004: 12.68%,2008: Rs.1.50 | 2005: Rs.0.00 | 2004: Rs.1.50,100.0%,High consistency (100.0%): 3 years with dividends
GTYR,45.75,"2024, 2022, 2019, 2018, 2017, 2015, 2014, 2013, 2012","1, 1, 2, 1, 1, 1, 1, 1, 1",Yes,2024: 3.95% | 2022: 6.56% | 2019: 5.46% | 2018: 15.30% | 2017: 32.79% | 2015: 15.30% | 2014: 14.21% | 2013: 9.84% | 2012: 4.37%,2024: Rs.1.81 | 2022: Rs.3.00 | 2019: Rs.2.50 | 2018: Rs.7.00 | 2017: Rs.15.00 | 2015: Rs.7.00 | 2014: Rs.6.50 | 2013: Rs.4.50 | 2012: Rs.2.00,100.0%,High consistency (100.0%): 9 years with dividends
GVGL,67.5,"2025, 2024, 2023, 2022, 2021, 2019","1, 2, 2, 2, 2, 1",Yes,2025: 1.48% | 2024: 2.96% | 2023: 16.87% | 2022: 5.93% | 2021: 11.85% | 2019: 4.44%,2025: Rs.1.00 | 2024: Rs.2.00 | 2023: Rs.11.39 | 2022: Rs.4.00 | 2021: Rs.8.00 | 2019: Rs.3.00,100.0%,Minor gap detected but overall consistent: 5 years with dividends
GWLC,49.36,"2025, 2022, 2021, 2019, 2018, 2017, 2016, 2015, 2006","1, 1, 1, 1, 1, 1, 2, 1, 1",Yes,2025: 2.03% | 2022: 2.03% | 2021: 1.52% | 2019: 1.01% | 2018: 3.04% | 2017: 3.04% | 2016: 5.06% | 2015: 3.04% | 2006: 1.01%,2025: Rs.1.00 | 2022: Rs.1.00 | 2021: Rs.0.75 | 2019: Rs.0.50 | 2018: Rs.1.50 | 2017: Rs.1.50 | 2016: Rs.2.50 | 2015: Rs.1.50 | 2006: Rs.0.50,100.0%,High consistency (100.0%): 8 years with dividends
HABSM,80.0,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 15.00% | 2023: 15.00% | 2022: 8.75% | 2021: 7.50% | 2020: 6.88% | 2019: 6.88% | 2018: 6.88% | 2017: 4.38% | 2016: 6.88% | 2015: 6.25%,2024: Rs.12.00 | 2023: Rs.12.00 | 2022: Rs.7.00 | 2021: Rs.6.00 | 2020: Rs.5.50 | 2019: Rs.5.50 | 2018: Rs.5.50 | 2017: Rs.3.50 | 2016: Rs.5.50 | 2015: Rs.5.00,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year"
HAFL,389.14,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 0.64% | 2023: 0.51% | 2022: 0.51% | 2021: 0.51% | 2020: 0.51% | 2019: 0.39% | 2018: 0.45% | 2017: 0.39% | 2016: 0.39% | 2015: 0.39%,2024: Rs.2.50 | 2023: Rs.2.00 | 2022: Rs.2.00 | 2021: Rs.2.00 | 2020: Rs.2.00 | 2019: Rs.1.50 | 2018: Rs.1.75 | 2017: Rs.1.50 | 2016: Rs.1.50 | 2015: Rs.1.50,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year"
HBL,236.97,"2025, 2024, 2023","2, 4, 4",Yes,2025: 3.80% | 2024: 6.86% | 2023: 4.11%,2025: Rs.9.00 | 2024: Rs.16.25 | 2023: Rs.9.75,100.0%,"Perfect consistency: 2 consecutive years, Pattern: 4 dividends per year"
HBLTETF,105.0,"2025, 2024, 2023","1, 1, 1",Yes,2025: 1.52% | 2024: 1.90% | 2023: 1.33%,2025: Rs.1.60 | 2024: Rs.2.00 | 2023: Rs.1.40,100.0%,"Perfect consistency: 2 consecutive years, Pattern: 1 dividends per year"
HCAR,291.02,"2025, 2024, 2022, 2021, 2020, 2019, 2018, 2017, 2016","1, 1, 1, 1, 1, 1, 1, 2, 1",Yes,2025: 2.75% | 2024: 2.23% | 2022: 2.41% | 2021: 1.55% | 2020: 0.34% | 2019: 4.17% | 2018: 7.82% | 2017: 5.90% | 2016: 2.41%,2025: Rs.8.00 | 2024: Rs.6.50 | 2022: Rs.7.00 | 2021: Rs.4.52 | 2020: Rs.1.00 | 2019: Rs.12.15 | 2018: Rs.22.75 | 2017: Rs.17.18 | 2016: Rs.7.00,100.0%,Minor gap detected but overall consistent: 8 years with dividends
HGFA,14.46,"2025, 2024, 2023, 2017, 2016, 2014, 2013, 2012, 2011, 2010","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2025: 7.26% | 2024: 5.19% | 2023: 8.30% | 2017: 19.02% | 2016: 5.19% | 2014: 31.12% | 2013: 31.12% | 2012: 12.10% | 2011: 17.63% | 2010: 8.64%,2025: Rs.1.05 | 2024: Rs.0.75 | 2023: Rs.1.20 | 2017: Rs.2.75 | 2016: Rs.0.75 | 2014: Rs.4.50 | 2013: Rs.4.50 | 2012: Rs.1.75 | 2011: Rs.2.55 | 2010: Rs.1.25,100.0%,"High consistency (100.0%): 9 years with dividends, Pattern: 1 dividends per year"
HICL,13.79,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 14.50% | 2023: 9.06% | 2022: 9.06% | 2021: 9.06% | 2020: 7.25% | 2019: 7.25% | 2018: 10.88% | 2017: 10.88% | 2016: 25.38% | 2015: 25.38%,2024: Rs.2.00 | 2023: Rs.1.25 | 2022: Rs.1.25 | 2021: Rs.1.25 | 2020: Rs.1.00 | 2019: Rs.1.00 | 2018: Rs.1.50 | 2017: Rs.1.50 | 2016: Rs.3.50 | 2015: Rs.3.50,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year"
HIFA,6.13,"2025, 2024, 2023, 2017, 2016, 2014, 2013, 2012, 2011, 2010","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2025: 5.38% | 2024: 0.00% | 2023: 6.53% | 2017: 22.02% | 2016: 6.85% | 2014: 35.89% | 2013: 35.89% | 2012: 13.05% | 2011: 20.39% | 2010: 12.23%,2025: Rs.0.33 | 2024: Rs.0.00 | 2023: Rs.0.40 | 2017: Rs.1.35 | 2016: Rs.0.42 | 2014: Rs.2.20 | 2013: Rs.2.20 | 2012: Rs.0.80 | 2011: Rs.1.25 | 2010: Rs.0.75,100.0%,"High consistency (100.0%): 9 years with dividends, Pattern: 1 dividends per year"
HINO,559.93,"2020, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2009, 2008","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2020: 1.79% | 2018: 12.42% | 2017: 12.10% | 2016: 16.03% | 2015: 11.59% | 2014: 6.74% | 2013: 0.29% | 2012: 0.28% | 2009: 0.31% | 2008: 4.29%,2020: Rs.10.00 | 2018: Rs.69.52 | 2017: Rs.67.73 | 2016: Rs.89.78 | 2015: Rs.64.91 | 2014: Rs.37.74 | 2013: Rs.1.64 | 2012: Rs.1.55 | 2009: Rs.1.75 | 2008: Rs.24.00,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
HINOON,1135.56,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016","1, 2, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 3.52% | 2023: 2.77% | 2022: 1.76% | 2021: 1.76% | 2020: 1.32% | 2019: 1.14% | 2018: 1.14% | 2017: 0.88% | 2016: 0.75%,2024: Rs.40.00 | 2023: Rs.31.50 | 2022: Rs.20.00 | 2021: Rs.20.00 | 2020: Rs.15.00 | 2019: Rs.13.00 | 2018: Rs.13.00 | 2017: Rs.10.00 | 2016: Rs.8.50,100.0%,Perfect consistency: 9 consecutive years
HMB,109.18,"2025, 2024, 2023, 2022, 2021","1, 4, 2, 2, 1",Yes,2025: 2.29% | 2024: 10.99% | 2023: 9.62% | 2022: 2.98% | 2021: 2.75%,2025: Rs.2.50 | 2024: Rs.12.00 | 2023: Rs.10.50 | 2022: Rs.3.25 | 2021: Rs.3.00,100.0%,Perfect consistency: 4 consecutive years
HPL,2990.0,"2024, 2023","2, 1",Yes,2024: 4.52% | 2023: 1.00%,2024: Rs.135.00 | 2023: Rs.30.00,100.0%,Perfect consistency: 2 consecutive years
HRPL,29.31,"2023, 2022, 2021, 2020, 2019","1, 2, 1, 2, 1",Yes,2023: 10.24% | 2022: 27.29% | 2021: 20.47% | 2020: 34.12% | 2019: 17.06%,2023: Rs.3.00 | 2022: Rs.8.00 | 2021: Rs.6.00 | 2020: Rs.10.00 | 2019: Rs.5.00,100.0%,Perfect consistency: 5 consecutive years
HTL,42.96,"2022, 2021, 2020, 2019, 2018, 2017, 2016","1, 2, 2, 1, 1, 2, 1",Yes,2022: 4.66% | 2021: 8.85% | 2020: 6.75% | 2019: 0.58% | 2018: 4.07% | 2017: 8.15% | 2016: 3.14%,2022: Rs.2.00 | 2021: Rs.3.80 | 2020: Rs.2.90 | 2019: Rs.0.25 | 2018: Rs.1.75 | 2017: Rs.3.50 | 2016: Rs.1.35,100.0%,Perfect consistency: 7 consecutive years
HUBC,160.9,"2024, 2023, 2022","3, 4, 3",Yes,2024: 9.94% | 2023: 11.03% | 2022: 17.25%,2024: Rs.16.00 | 2023: Rs.17.75 | 2022: Rs.27.75,100.0%,Perfect consistency: 3 consecutive years
HUMNL,14.87,"2022, 2017, 2015, 2014, 2013","2, 1, 2, 4, 1",Yes,2022: 36.99% | 2017: 6.72% | 2015: 23.54% | 2014: 43.71% | 2013: 10.09%,2022: Rs.5.50 | 2017: Rs.1.00 | 2015: Rs.3.50 | 2014: Rs.6.50 | 2013: Rs.1.50,100.0%,High consistency (100.0%): 5 years with dividends
IBFL,322.13,"2021, 2019, 2018, 2017, 2013, 2012, 2011, 2010","1, 1, 1, 1, 2, 2, 1, 1",Yes,2021: 0.62% | 2019: 0.31% | 2018: 0.47% | 2017: 0.31% | 2013: 1.24% | 2012: 1.40% | 2011: 0.93% | 2010: 0.62%,2021: Rs.2.00 | 2019: Rs.1.00 | 2018: Rs.1.50 | 2017: Rs.1.00 | 2013: Rs.4.00 | 2012: Rs.4.50 | 2011: Rs.3.00 | 2010: Rs.2.00,100.0%,High consistency (100.0%): 8 years with dividends
IBLHL,61.46,"2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 2, 1",Yes,2023: 3.25% | 2022: 1.63% | 2021: 3.25% | 2020: 3.25% | 2019: 1.63% | 2018: 1.63% | 2017: 1.63% | 2016: 3.25% | 2015: 1.63%,2023: Rs.2.00 | 2022: Rs.1.00 | 2021: Rs.2.00 | 2020: Rs.2.00 | 2019: Rs.1.00 | 2018: Rs.1.00 | 2017: Rs.1.00 | 2016: Rs.2.00 | 2015: Rs.1.00,100.0%,Perfect consistency: 9 consecutive years
ICIBL,7.77,"2005, 2004","1, 1",Yes,2005: 0.00% | 2004: 0.00%,2005: Rs.0.00 | 2004: Rs.0.00,100.0%,"Perfect consistency: 2 consecutive years, Pattern: 1 dividends per year"
ICL,90.34,"2024, 2023, 2022","3, 3, 4",Yes,2024: 4.98% | 2023: 3.60% | 2022: 4.43%,2024: Rs.4.50 | 2023: Rs.3.25 | 2022: Rs.4.00,100.0%,Perfect consistency: 3 consecutive years
IDRT,20.0,"2021, 2018, 2017, 2015, 2014, 2013, 2012, 2011","1, 1, 1, 2, 1, 1, 2, 1",Yes,2021: 5.00% | 2018: 5.00% | 2017: 2.50% | 2015: 5.00% | 2014: 5.00% | 2013: 5.00% | 2012: 10.00% | 2011: 5.00%,2021: Rs.1.00 | 2018: Rs.1.00 | 2017: Rs.0.50 | 2015: Rs.1.00 | 2014: Rs.1.00 | 2013: Rs.1.00 | 2012: Rs.2.00 | 2011: Rs.1.00,100.0%,High consistency (100.0%): 8 years with dividends
IDSM,25.91,"2022, 2021, 2020, 2019, 2018, 2011, 2007, 2005, 2004","1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2022: 7.72% | 2021: 6.95% | 2020: 5.02% | 2019: 4.63% | 2018: 2.89% | 2011: 2.89% | 2007: 1.93% | 2005: 0.00% | 2004: 0.00%,2022: Rs.2.00 | 2021: Rs.1.80 | 2020: Rs.1.30 | 2019: Rs.1.20 | 2018: Rs.0.75 | 2011: Rs.0.75 | 2007: Rs.0.50 | 2005: Rs.0.00 | 2004: Rs.0.00,100.0%,"High consistency (100.0%): 9 years with dividends, Pattern: 1 dividends per year"
IDYM,180.61,"2023, 2021, 2020, 2019, 2018, 2017, 2016","1, 1, 3, 2, 1, 1, 1",Yes,2023: 1.11% | 2021: 2.77% | 2020: 24.92% | 2019: 13.84% | 2018: 8.86% | 2017: 7.20% | 2016: 2.77%,2023: Rs.2.00 | 2021: Rs.5.00 | 2020: Rs.45.00 | 2019: Rs.25.00 | 2018: Rs.16.00 | 2017: Rs.13.00 | 2016: Rs.5.00,100.0%,Minor gap detected but overall consistent: 7 years with dividends
IGIHL,253.95,"2024, 2023, 2022, 2021, 2020, 2019","2, 2, 2, 2, 1, 1",Yes,2024: 2.36% | 2023: 2.36% | 2022: 1.67% | 2021: 2.17% | 2020: 1.97% | 2019: 1.18%,2024: Rs.6.00 | 2023: Rs.6.00 | 2022: Rs.4.25 | 2021: Rs.5.50 | 2020: Rs.5.00 | 2019: Rs.3.00,100.0%,Perfect consistency: 6 consecutive years
IGIL,21.55,"2019, 2017, 2016, 2015, 2007","1, 3, 3, 1, 2",Yes,2019: 65.76% | 2017: 12.06% | 2016: 16.24% | 2015: 4.64% | 2007: 27.31%,2019: Rs.14.17 | 2017: Rs.2.60 | 2016: Rs.3.50 | 2015: Rs.1.00 | 2007: Rs.5.88,100.0%,High consistency (100.0%): 5 years with dividends
ILP,73.91,"2024, 2023, 2022, 2021, 2020, 2019","1, 3, 1, 2, 2, 1",Yes,2024: 3.38% | 2023: 9.47% | 2022: 2.71% | 2021: 4.06% | 2020: 3.38% | 2019: 1.35%,2024: Rs.2.50 | 2023: Rs.7.00 | 2022: Rs.2.00 | 2021: Rs.3.00 | 2020: Rs.2.50 | 2019: Rs.1.00,100.0%,Perfect consistency: 6 consecutive years
IMAGE,28.23,"2025, 2023, 2022, 2021","1, 3, 1, 2",Yes,2025: 3.54% | 2023: 37.19% | 2022: 5.31% | 2021: 30.11%,2025: Rs.1.00 | 2023: Rs.10.50 | 2022: Rs.1.50 | 2021: Rs.8.50,100.0%,Perfect consistency: 3 consecutive years
INDU,2117.12,"2025, 2024, 2023, 2022","1, 3, 4, 2",Yes,2025: 2.36% | 2024: 5.20% | 2023: 4.30% | 2022: 0.87%,2025: Rs.50.00 | 2024: Rs.110.00 | 2023: Rs.91.10 | 2022: Rs.18.40,100.0%,Perfect consistency: 3 consecutive years
INIL,181.16,"2024, 2023, 2022, 2021, 2020, 2019, 2018","1, 3, 1, 2, 1, 1, 1",Yes,2024: 1.93% | 2023: 5.24% | 2022: 3.31% | 2021: 4.69% | 2020: 1.93% | 2019: 1.66% | 2018: 1.38%,2024: Rs.3.50 | 2023: Rs.9.50 | 2022: Rs.6.00 | 2021: Rs.8.50 | 2020: Rs.3.50 | 2019: Rs.3.00 | 2018: Rs.2.50,100.0%,Perfect consistency: 7 consecutive years
INKL,37.72,"2024, 2023, 2022, 2020, 2019, 2018, 2016, 2015, 2012, 2010","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 1.99% | 2023: 2.65% | 2022: 1.99% | 2020: 1.33% | 2019: 1.33% | 2018: 1.33% | 2016: 2.65% | 2015: 2.65% | 2012: 1.33% | 2010: 1.59%,2024: Rs.0.75 | 2023: Rs.1.00 | 2022: Rs.0.75 | 2020: Rs.0.50 | 2019: Rs.0.50 | 2018: Rs.0.50 | 2016: Rs.1.00 | 2015: Rs.1.00 | 2012: Rs.0.50 | 2010: Rs.0.60,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
ISIL,2180.03,"2024, 2023, 2022, 2021, 2020, 2019, 2018","1, 2, 1, 1, 2, 2, 1",Yes,2024: 0.46% | 2023: 0.55% | 2022: 0.18% | 2021: 0.69% | 2020: 0.16% | 2019: 0.16% | 2018: 0.21%,2024: Rs.10.00 | 2023: Rs.12.00 | 2022: Rs.4.00 | 2021: Rs.15.00 | 2020: Rs.3.40 | 2019: Rs.3.50 | 2018: Rs.4.50,100.0%,Perfect consistency: 7 consecutive years
